,sample,plate,batch,well,row,col,replicate,region,sort,cm.from.mouth,Paired DNA,prior_cell_type,n_counts,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,total_counts_ribo,pct_counts_ribo,_scvi_batch,_scvi_labels,leiden,S_score,G2M_score,phase,esophageal_diff_score,basal_epithelial_score,cd8_score,cd4_score,cd8_cd4_score,leiden2,leiden3,cell_type,Cell Type,dpt_pseudotime,Diffusion Pseudotime,% MT,% ribo
cu01_p1r4M20,cu01,p1,cu01_p1,M20,M,20,4,B,EPCAM+,25.0,True,Basal Epithelial,1588995.0,7405,1588995.0,202208.0,12.725528,286431.0,18.025923,0,0,9,-0.22487893354154675,-0.2829594693904945,G1,0.24851279032613866,0.9278440420813859,-0.13090534593444317,-0.10736852426081896,-0.02353682167362421,9,9,Basal Epithelial,Basal Epithelial,0.09043011,0.09043011,12.725528,18.025923
cu02_p2r2G3,cu02,p2,cu02_p2,G3,G,3,2,1,EPCAM+,37.0,True,Basal Epithelial,661379.0,7237,661379.0,68362.0,10.336282,142150.0,21.492971,0,0,9,-0.05688751319253138,-0.1768377736290139,G1,0.3643210053540328,1.3128436704427004,-0.06268920378759503,-0.07762319386005402,0.014933990072458991,9,9,Basal Epithelial,Basal Epithelial,0.07639518,0.07639518,10.336282,21.492971
cu01_p1r1D23,cu01,p1,cu01_p1,D23,D,23,1,B,EPCAM+,25.0,True,Basal Epithelial,1639247.0,7732,1639247.0,195619.0,11.933467,285984.0,17.446058,0,0,5,-0.12830423810167035,-0.22180086713102592,G1,0.30428262041300974,1.066360410561785,-0.07080007553566248,-0.05961142400590082,-0.011188651529761659,5,5,Basal Epithelial,Basal Epithelial,0.11479848,0.11479848,11.933467,17.446058
cu03_p3r1D12,cu03,p3,cu03_p3,D12,D,12,1,B,EPCAM+,27.0,True,,306749.0,4717,306749.0,20791.0,6.7778544,29768.0,9.704351,0,0,2,-0.08665178785230865,-0.1354809957415705,G1,0.8177120219118454,0.7810849408209323,-0.06800453331321478,-0.04444771662354469,-0.023556816689670086,2,2,Suprabasal Epithelial,Suprabasal Epithelial,0.5110577,0.5110577,6.7778544,9.704351
cu01_p1r4N6,cu01,p1,cu01_p1,N6,N,6,4,B,EPCAM+,25.0,True,Basal Epithelial,1431688.0,6262,1431688.0,181445.0,12.673502,255561.0,17.850327,0,0,5,-0.1755200122984597,-0.15304432619282476,G1,0.3998044356986442,1.0525111479852347,-0.10357703135348856,-0.09637807191660007,-0.0071989594368884885,5,5,Basal Epithelial,Basal Epithelial,0.031243559,0.031243559,12.673502,17.850327
cu02_p1r2F12,cu02,p1,cu02_p1,F12,F,12,2,,EPCAM+,,False,Terminally Differentiated Epithelial,836479.0,2369,836479.0,304.0,0.036342815,18803.0,2.2478747,0,0,11,-0.11228220478516335,-0.0469548782173181,G1,1.9697574232507717,-0.22553239975497127,-0.046572608947753905,-0.042496771235018965,-0.004075837712734939,11,11,Terminally Differentiated Epithelial,Terminally Differentiated Epithelial,0.9334341,0.9334341,0.036342815,2.2478747
cu01_p2r2E3,cu01,p2,cu01_p2,E3,E,3,2,B,EPCAM+,25.0,True,Suprabasal Epithelial,898993.0,7757,898993.0,60662.0,6.7477727,146649.0,16.312586,0,0,4,0.05598171738000346,-0.20459800994933255,S,0.7363984443635188,1.1908159451521931,-0.0759590217191726,-0.09218386609107256,0.016224844371899957,4,4,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.35650554,0.35650554,6.7477727,16.312586
cu02_p2r3L10,cu02,p2,cu02_p2,L10,L,10,3,1,EPCAM+,37.0,True,Proliferative Basal Epithelial,491423.0,7661,491423.0,34016.0,6.921939,30897.0,6.2872515,0,0,1,-0.06821996461422669,0.41902864546960245,G2M,0.8355608638367231,0.6714546413868665,-0.11254754595458508,-0.11603087837497393,0.0034833324203888544,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.64685297,0.64685297,6.921939,6.2872515
cu01_p1r2E22,cu01,p1,cu01_p1,E22,E,22,2,B,EPCAM+,25.0,True,Basal Epithelial,1442840.0,6502,1442840.0,194439.0,13.4761305,273941.0,18.986235,0,0,5,-0.17446057614642263,-0.2431415286776098,G1,0.5022846715134733,1.2073153066970408,-0.09811396962963044,-0.06689446626231074,-0.031219503367319698,5,5,Basal Epithelial,Basal Epithelial,0.12145731,0.12145731,13.4761305,18.986235
cu03_p3r2H6,cu03,p3,cu03_p3,H6,H,6,2,B,EPCAM+,27.0,True,,728138.0,6139,728138.0,21430.0,2.9431236,76301.0,10.478921,0,0,1,-0.24962655428858968,1.0260766381205948,G2M,0.4400876473306733,0.663617929443717,-0.05904860394075513,-0.07602405103544395,0.016975447094688817,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.64194816,0.64194816,2.9431236,10.478921
cu02_p3r2E14,cu02,p3,cu02_p3,E14,E,14,2,4,EPCAM+,21.0,True,,212184.0,4928,212184.0,23550.0,11.098857,11951.0,5.6323757,0,0,8,-0.1588042864589138,-0.19596365372302357,G1,0.34410285600844553,1.181650854319334,-0.13051554828882217,-0.14005593299865723,0.009540384709835065,8,8,Basal Epithelial,Basal Epithelial,0.20875664,0.20875664,11.098857,5.6323757
cu02_p2r2G17,cu02,p2,cu02_p2,G17,G,17,2,1,EPCAM+,37.0,True,Proliferative Basal Epithelial,828465.0,8445,828465.0,50447.0,6.089213,117813.0,14.220637,0,0,4,0.43660523489055664,-0.040813154309724486,S,0.6763354586792343,0.8542667711377145,-0.046857800409197806,-0.06782229896634817,0.020964498557150366,4,4,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.42871466,0.42871466,6.089213,14.220637
cu02_p2r2F2,cu02,p2,cu02_p2,F2,F,2,2,1,EPCAM+,37.0,True,Basal Epithelial,656288.0,8499,656288.0,58157.0,8.8615055,122468.0,18.66071,0,0,9,0.4886006913900097,-0.056969525252857756,S,0.3967179467550972,1.0674323253557085,-0.06322298327460885,-0.09309646309663852,0.029873479822029675,9,9,Basal Epithelial,Basal Epithelial,0.22931738,0.22931738,8.8615055,18.66071
